item,tarefa,prompt_como_emitido,resposta_do_modelo,gabarito_oficial,factual_accuracy,contextual_completeness,citation_quality,calibration,absence_of_hallucination,observacao
IT113,T5,"A metropolitan region of Australia faces a forecast episode with PM2.5 expected to exceed 75 ug/m3 within 24 hours. Recommend three short-term policy actions (deployable within 48 hours) to reduce population exposure, each justified by public-health evidence or operational feasibility.","Given the forecast episode of PM2.5 exceeding 75 ug/m3 within 24 hours in a metropolitan region of Australia, here are three short-term policy actions that can be deployed within 48 hours to reduce population exposure, each justified by public-health evidence or operational feasibility:

1. **Implement a Temporary Ban on Wood Fire Heaters and Outdoor Burning**: This policy action is justified by public-health evidence that wood smoke is a significant contributor to PM2.5 levels, particularly in urban areas. By banning wood fire heaters and outdoor burning, the metropolitan region can reduce the amount of particulate matter emitted into the air, thereby decreasing population exposure to PM2.5. This action is operationally feasible as it can be enforced through existing regulations and public awareness campaigns. Studies have shown that wood smoke restrictions can lead to significant reductions in PM2.5 levels, with one study in Australia finding a 30% reduction in PM2.5 concentrations after implementing a wood heater ban (1).

2. **Enhance Public Transportation and Encourage Active Transport**: This policy action is justified by public-health evidence that reducing the number of vehicles on the road can decrease PM2.5 emissions from motor vehicles. By enhancing public transportation services, such as increasing the frequency of buses and trains, and encouraging active transport, such as walking and cycling, the metropolitan region can reduce the number of private vehicles on the road, thereby decreasing PM2.5 emissions. This action is operationally feasible as it can be implemented through existing public transportation infrastructure and promotional campaigns. A study in the United States found that increasing public transportation use can lead to a 10% reduction in PM2.5 emissions from motor vehicles (2).

3. **Distribute Air Purifiers to Vulnerable Populations and Establish Clean Air Shelters**: This policy action is justified by public-health evidence that air purifiers can effectively reduce indoor PM2.5 levels, particularly for vulnerable populations such as the elderly, young children, and those with pre-existing respiratory conditions. By distributing air purifiers to these populations and establishing clean air shelters, the metropolitan region can provide a safe and healthy environment for those most at risk from PM2.5 exposure. This action is operationally feasible as it can be implemented through existing social services and community networks. A study in China found that using air purifiers can reduce indoor PM2.5 levels by up to 80% (3).

In conclusion, these three short-term policy actions can be deployed within 48 hours to reduce population exposure to PM2.5 in a metropolitan region of Australia. Each action is justified by public-health evidence and operational feasibility, and can be implemented through existing regulations, infrastructure, and community networks.

References:

(1) Australian Government Department of the Environment and Energy. (2018). Wood Heater Emissions Reduction Program.

(2) United States Environmental Protection Agency. (2020). Reducing Particulate Matter Emissions from Motor Vehicles.

(3) Zhang et al. (2018). Effectiveness of air purifiers in reducing indoor particulate matter concentrations: A systematic review. Environmental Health Perspectives, 126(10), 105001.",sem chave oficial para esta celula (o codigo nao pontua; pontue so o que a resposta afirma),,,,,,
IT081,T2,"According to the national or subnational environmental agency, what was the annual mean PM2.5 concentration in Seoul, South Korea, in the most recent reported year? Provide value in ug/m3, the reference station or network, and the source.","I don't have access to real-time data or the most current reports from specific environmental agencies. However, I can guide you on where to find the most recent data on PM2.5 concentrations in Seoul, South Korea.

The data you're looking for is typically reported by national or subnational environmental agencies. For South Korea, this would be the Ministry of Environment or more specifically, the National Institute of Environmental Research (NIER). For Seoul, the Seoul Metropolitan Government and its environmental monitoring agencies also play a crucial role.

The PM2.5 data, including annual mean concentrations, can often be found through:

1. **National Institute of Environmental Research (NIER)**: Part of the South Korean government's Ministry of Environment, NIER conducts and publishes environmental research, including air quality data.

2. **Air Quality Index (AQI) websites and apps**: Websites like aqicn.org, airnow.gov (for US comparative data), and the Korean government's official air quality website provide real-time and historical data on PM2.5 and other pollutants. 

3. **Seoul Metropolitan Government's Environmental Monitoring**: The Seoul Metropolitan Government's website or its environmental monitoring agency might provide detailed data on air quality in Seoul, including PM2.5 concentrations.

As of my last update, I recommend checking directly with these sources for the most recent data. For a precise figure for the most recent reported year, you would likely need to look at the annual reports or databases provided by these agencies.

For example, according to the World Air Quality Report, Seoul has seen PM2.5 levels varying over the years, but direct, up-to-date values would require consulting the sources mentioned.

**Example Procedure to Find Data:**
- Visit the [National Institute of Environmental Research (NIER)](https://www.nier.go.kr/eng/) or similar authoritative sites.
- Look for sections related to air quality or environmental statistics.
- Find and access the most recent annual report or data release.

**Source Example:**
- A recent report or dataset from NIER or Seoul's environmental agency would serve as a primary source. 

Given the rapidly changing nature of environmental data and without direct access to 2023 data as of my last update, I encourage you to consult the official sources directly for the most accurate and current information.","valores aceitos (qualquer ano, +/-20%): 2015: 23.2, 2016: 27.4, 2017: 24.5, 2018: 22.9, 2019: 25.4 — fonte: WHO Ambient Air Quality Database, version 2024 (V6.1)",,,,,,
IT135,T4,"List the principal national programs or legal instruments for monitoring and controlling ambient air pollution in Portugal, with the executing agency for each.","The principal national programs or legal instruments for monitoring and controlling ambient air pollution in Portugal are:

1. Decree-Law No. 11/2003 - Establishing the first National Program to Reduce Emissions of Certain Pollutants into the Air (PRTR), executed by the Ministry for Environment, Spatial Planning and Regional Development (MAOTDR).
2. Decree-Law No. 242/2001 - Transposing Directive 1999/30/EC, executed by the Ministry for Environment, Spatial Planning and Regional Development (MAOTDR).
3. Decree-Law No. 111/2002 - Transposing Directive 2000/76/EC, executed by the Ministry for Environment, Spatial Planning and Regional Development (MAOTDR).
4. Decree-Law No. 276/2009 - Transposing Directive 2008/50/EC, executed by the Ministry for Environment, Spatial Planning and Regional Development (MAOTDR).

The executing agency for these programs is the Ministry for Environment, Spatial Planning and Regional Development (MAOTDR).","instrumentos listados pela referencia (o conjunto NAO e exaustivo; um instrumento real que falte aqui conta como certo): Decree-Law No. on air quality assessment and management no-1022010-on-air-quality-assessment-and- legislation (secondary source) — fonte: UNEP, Regulating Air Quality: The First Global Assessment of Air Pollution Legislation, Appendix 1 (as at 15 December 2020)",,,,,,
IT092,T5,"A metropolitan region of France faces a forecast episode with PM2.5 expected to exceed 75 ug/m3 within 24 hours. Recommend three short-term policy actions (deployable within 48 hours) to reduce population exposure, each justified by public-health evidence or operational feasibility.","Here are three immediately deployable measures (within 48 hours) to reduce population exposure during a forecast PM2.5 peak (>75 µg/m3). Each pairs strong public‑health rationale with operational feasibility commonly used in French/European cities.

1) Temporary traffic restrictions and promotion of low‑emission travel
- Action: Implement alternating-plate or Crit’Air-based driving bans for the urban core; reduce speed limits on major arteries; make public transport free and increase frequency on key lines; open pop‑up park‑and‑ride and prioritize bus lanes.
- Why it works: Road traffic is a major urban PM2.5 contributor (exhaust + brake/tire/road dust). Short-term traffic restrictions consistently reduce roadside and area-wide PM2.5 by measurable margins within hours to days; speed reductions cut non‑exhaust particulates. Free transit shifts mode choice quickly.
- Feasibility: Precedent in Île‑de‑France, Lyon, Grenoble, and other EU cities during smog episodes; can be enacted by prefectural order and municipal operators on short notice.

2) Targeted advisories and indoor exposure reduction measures
- Action: Issue immediate health advisories via SMS, radio, schools, employers, and healthcare networks: stay indoors with windows closed during peak hours; avoid outdoor exercise; prioritize clean indoor air in public buildings. Deploy portable HEPA air purifiers to priority settings (schools, crèches, elderly care, hospital waiting areas) and advise use of well‑fitting FFP2 masks for necessary outdoor activities. Encourage workplaces to enable telework for two days.
- Why it works: Short-term exposure to PM2.5 increases cardiopulmonary events within 24–48 hours. Staying indoors with filtration reduces personal exposure by 50–80% vs ambient; HEPA units can drop indoor PM2.5 by 50%+ within hours. FFP2 masks reduce inhaled fine particles substantially. Telework and reduced outdoor activity immediately cut exposure and emissions.
- Feasibility: Messaging can be deployed rapidly; many public facilities already have mechanical ventilation or can accept portable purifiers; FFP2 stocks are widely available post‑COVID; telework protocols are established.

3) Immediate curbs on high-emitting combustion sources
- Action: Enforce a 48‑hour ban on residential wood heating where alternative heating exists; prohibit open burning (gardening/agricultural residues, construction waste); request industrial sites to activate short‑term emission‑reduction modes (fuel switching, load reduction) during the peak; intensify roadside and construction‑site dust control (watering, wheel washing, covering materials).
- Why it works: In winter and transitional seasons, residential wood burning can contribute a large share of urban PM2.5; short bans yield rapid concentration drops. Open burning and certain industrial operations produce spikes of primary PM and precursors. Dust suppression reduces resuspension that adds to PM2.5 and PM10 during stagnant conditions.
- Feasibility: Many French regions already have regulatory tools to restrict wood stoves and open burning during pollution episodes; industrial sites typically have contingency operating modes; municipal services can deploy dust control within hours.

Implementation notes:
- Activate regional air-quality episode protocol (prefectoral decree), define geographic scope, monitoring, and enforcement.
- Coordinate with ARS, transport operators, mayors, and industry for rapid rollout.
- Communicate clear start/end times, populations at risk, and alternatives (free transit, telework, mask distribution points).
- Monitor air quality in near real time and adjust measures if the episode persists.",sem chave oficial para esta celula (o codigo nao pontua; pontue so o que a resposta afirma),,,,,,
IT034,T2,"I am the municipal environmental management official of Nairobi, Kenya, and I need to brief decision-makers. According to the national or subnational environmental agency, what was the annual mean PM2.5 concentration in Nairobi, Kenya, in the most recent reported year? Provide value in ug/m3, the reference station or network, and the source.","I don’t have live web access, but based on the most recent publicly available official data through mid‑2024, the national air-quality agency (Kenya’s National Environment Management Authority, NEMA) does not publish a single citywide annual mean PM2.5 for Nairobi as a national summary figure; instead NEMA and Nairobi’s county air-quality monitoring report station-level annual means from the national and Nairobi County monitoring networks.

The most recent official station-level values published by NEMA / Nairobi County that I can reference are:

- Nairobi (Kibera / City Hall / Industrial Area — station name varies by report): annual mean PM2.5 ≈ 24–30 µg/m3 (reported per station for the most recent reported year). These figures appear in NEMA’s and Nairobi County’s air quality bulletins and in the Kenya Air Quality Index reports.

However, because NEMA’s published documents give station-specific annual means rather than a single “Nairobi city” average, you should cite the specific station you intend to represent. To brief decision-makers with a fully citable number, I recommend using one of the following authoritative sources and their station values for the most recent reported year:

- National Environment Management Authority (NEMA) / Nairobi County Air Quality Monitoring report or NEMA Annual Air Quality Bulletin — contains station-level annual mean PM2.5 (ug/m3) and the monitoring network used (NEMA network and Nairobi County fixed stations). Source: NEMA website (nema.go.ke) — look for the latest “Air Quality Bulletin” or “Air Quality Annual Report”.

- Kenya Meteorological Department / Nairobi County air-quality monitoring pages — for station network identification and station-specific PM2.5.

- World Health Organization Global Urban Ambient Air Pollution Database or WHO Ambient (Outdoor) Air Pollution database: these summarize reported annual mean PM2.5 for cities but often rely on national agency submissions; WHO’s database provides a city-level PM2.5 with citation to the original national source.

Because accurate briefing requires an exact numeric value with an exact station name and a precise source and year, would you like me to:
1) Fetch the latest official station-level PM2.5 values for Nairobi (I can look up the most recent NEMA/Nairobi County report and quote the exact station value, station name, and report citation), or
2) Prepare a brief that explains the typical recent range and how to interpret station vs. citywide averages, with guidance on which station to use for policy decisions?

If you want me to fetch the precise, citable number now, confirm and I will retrieve the latest official report and give the station name, annual mean (µg/m3), monitoring network, year, and a link to the source.","valores aceitos (qualquer ano, +/-20%): 2021: 13.1 — fonte: WHO Ambient Air Quality Database, version 2024 (V6.1)",,,,,,
IT104,T4,"भारत में परिवेशी वायु प्रदूषण की निगरानी और नियंत्रण के लिए प्रमुख राष्ट्रीय कार्यक्रमों या कानूनी साधनों की सूची बनाएं, साथ में प्रत्येक के लिए कार्यान्वयन एजेंसी भी बताएं। संक्षेप में उत्तर दें।","भारत में परिवेशी वायु प्रदूषण की निगरानी व नियंत्रण हेतु प्रमुख राष्ट्रीय कार्यक्रम/कानूनी साधन और उनकी कार्यान्वयन एजेंसियां:

- वायु (अधिनियम) 1981 – कार्यान्वयन: केंद्रीय प्रदूषण नियंत्रण बोर्ड (CPCB) व राज्य प्रदूषण नियंत्रण बोर्ड/समितियाँ (SPCBs/PCCs)
- पर्यावरण (संरक्षण) अधिनियम 1986 – कार्यान्वयन: पर्यावरण, वन एवं जलवायु परिवर्तन मंत्रालय (MoEFCC) और CPCB/SPCBs
- राष्ट्रीय स्वच्छ वायु कार्यक्रम (NCAP) 2019 – कार्यान्वयन: MoEFCC; क्रियान्वयन/समर्थन: CPCB, SPCBs/ULBs/राज्य-नगर निकाय
- राष्ट्रीय परिवेशी वायु गुणवत्ता मानक (NAAQS) 2009 – अधिसूचना/अपडेट: MoEFCC; निगरानी व अनुपालन: CPCB/SPCBs
- राष्ट्रीय वायु गुणवत्ता निगरानी कार्यक्रम (NAMP) – कार्यान्वयन: CPCB (SPCBs/परीक्षण प्रयोगशालाओं के साथ)
- सतत परिवेशी वायु गुणवत्ता निगरानी नेटवर्क (CAAQMS) – कार्यान्वयन: CPCB और SPCBs/शहरी स्थानीय निकाय
- राष्ट्रीय स्वच्छ वायु मिशन/सिटी एक्शन प्लान्स (PM10/PM2.5 गैर-उपलब्ध शहरों हेतु) – समन्वय: MoEFCC; कार्यान्वयन: नगर निकाय/SPCBs, CPCB तकनीकी समर्थन
- ग्रेडेड रिस्पॉन्स एक्शन प्लान (GRAP) – कार्यान्वयन/प्रवर्तन: आयोग बायोर्दरीय वायु गुणवत्ता प्रबंधन (CAQM) राष्ट्रीय राजधानी क्षेत्र व आस-पास; SPCBs/DPCC/ULBs द्वारा क्रियान्वयन
- CAQM अधिनियम/आदेश (NCR और आसपास के क्षेत्रों के लिए) 2021 – कार्यान्वयन: CAQM; सहयोगी एजेंसियां: CPCB, SPCBs, राज्य/नगर प्राधिकरण
- ईंधन/वाहन उत्सर्जन मानक (BS-VI) और मोटर वाहन नियम – अधिसूचना: सड़क परिवहन एवं राजमार्ग मंत्रालय (MoRTH); अनुपालन/प्रवर्तन: राज्य परिवहन विभाग, ऑटो उद्योग; पर्यावरणीय निगरानी: CPCB
- ईंट-भट्टों, थर्मल पावर प्लांट्स, उद्योगों हेतु उत्सर्जन मानक/बैस्ट अवेलेबल टेक्नॉलजी अधिसूचनाएं – अधिसूचना: MoEFCC; प्रवर्तन: CPCB/SPCBs
- राष्ट्रीय वायु गुणवत्ता सूचकांक (AQI) व SAFAR/ORACLES जैसी सूचना सेवाएं – कार्यान्वयन: CPCB (AQI); भारत मौसम विज्ञान विभाग/IMD व MoES (SAFAR)
- फसल अवशेष प्रबंधन/पराली नियंत्रण योजनाएं – समन्वय: कृषि एवं किसान कल्याण मंत्रालय, MoEFCC; प्रवर्तन: राज्य सरकारें, SPCBs
- स्वच्छ ईंधन/घरेलू प्रदूषण घटाने हेतु योजनाएं (PMUY–LPG, PNG/CBG, e-Mobility/FAME) – कार्यान्वयन: पेट्रोलियम एवं प्राकृतिक गैस मंत्रालय, भारी उद्योग मंत्रालय; सह-समन्वय: MoEFCC, राज्य एजेंसियां

नोट: ज्यादातर नियामक प्रवर्तन CPCB व संबंधित SPCBs/PCCs के माध्यम से होता है; शहरी कार्यान्वयन में नगर निकाय/ULBs प्रमुख भागीदार हैं।","instrumentos listados pela referencia (o conjunto NAO e exaustivo; um instrumento real que falte aqui conta como certo): National Ambient Air Quality Standards (2009) — fonte: UNEP, Regulating Air Quality: The First Global Assessment of Air Pollution Legislation, Appendix 1 (as at 15 December 2020)",,,,,,
IT055,T2,"I am the municipal environmental management official of Paris, France, and I need to brief decision-makers. According to the national or subnational environmental agency, what was the annual mean PM2.5 concentration in Paris, France, in the most recent reported year? Provide value in ug/m3, the reference station or network, and the source.","As the municipal environmental management official in Paris, here is a concise brief for decision-makers regarding the most recent annual mean PM2.5 concentration in Paris:

---

**Annual Mean PM2.5 Concentration in Paris, France (Most Recent Year)**

- **Year:** 2023  
- **Annual Mean PM2.5 Concentration:** **20.5 µg/m³**  
- **Reference Station / Network:**  
  - **AirParif (Agence Régionale de Santé – Île-de-France / AirParif Network)**  
  - Monitoring includes urban background stations in Paris (e.g., **République**, **Montsouris**, **Saint-Merri**, and **Bercy**). The annual average is typically calculated from a representative urban background station or a network of stations.  
- **Source:**  
  - **AirParif (Agence Régionale de Santé – Île-de-France)** – Annual Air Quality Report 2023  
  - [https://www.airparif.iledefrance.fr](https://www.airparif.iledefrance.fr)

---

**Context and Compliance:**

- The 2023 annual mean PM2.5 concentration of **20.5 µg/m³** is **below the EU annual limit value of 25 µg/m³**, indicating compliance with European Union air quality standards.  
- However, it is **above the WHO guideline of 10 µg/m³**, highlighting the need for continued efforts to reduce fine particulate matter emissions in the city.

**Key Contributors to PM2.5 in Paris:**
- Road traffic emissions (especially diesel vehicles)  
- Residential heating (wood burning in winter)  
- Industrial and commercial activities  
- Re-suspension of road dust  
- Regional transport of pollutants

**Recommendations for Decision-Makers:**
- Continue and expand low-emission zones (LEZ) and ultra-low emission zones (ULEZ)  
- Promote public transport, cycling, and walking  
- Encourage the use of electric and low-emission vehicles  
- Monitor and regulate wood-burning in residential areas  
- Support green infrastructure and urban greening initiatives

Let me know if you need a detailed slide deck or a policy brief tailored for a presentation to the Paris City Council or the Île-de-France Regional Council.","valores aceitos (qualquer ano, +/-20%): 2013: 18.7, 2014: 16.6, 2015: 16.2, 2016: 15.1, 2017: 13.9, 2018: 14.0, 2019: 12.7, 2020: 11.3, 2021: 12.9 — fonte: WHO Ambient Air Quality Database, version 2024 (V6.1)",,,,,,
IT011,T2,"According to the national or subnational environmental agency, what was the annual mean PM2.5 concentration in Seoul, South Korea, in the most recent reported year? Provide value in ug/m3, the reference station or network, and the source.","The most recent reported annual mean PM2.5 concentration in Seoul, South Korea, is **16.5 µg/m³** for the year 2022. This value is based on data from the National Institute of Environmental Research (NIER), which operates a nationwide air quality monitoring network in South Korea.

**Reference Station:** The NIER maintains multiple monitoring stations across Seoul, and the data is aggregated to provide city-wide averages.

**Source:**
- National Institute of Environmental Research (NIER), Republic of Korea. (2023). Annual Report on Ambient Air Quality in Korea, 2022. Retrieved from [NIER Website](https://www.nier.go.kr/eng/main.do)
- World Health Organization (WHO). (2021). Ambient (outdoor) air quality and health. Retrieved from [WHO Website](https://www.who.int/news-room/fact-sheets/detail/ambient-(outdoor)-air-quality-and-health)","valores aceitos (qualquer ano, +/-20%): 2015: 23.2, 2016: 27.4, 2017: 24.5, 2018: 22.9, 2019: 25.4 — fonte: WHO Ambient Air Quality Database, version 2024 (V6.1)",,,,,,
IT012,T4,"I am the municipal environmental management official of São Paulo, Brazil, and I need to brief decision-makers. List the principal national programs or legal instruments for monitoring and controlling ambient air pollution in Brazil, with the executing agency for each.","1. National Environmental Policy (PNMA): A comprehensive policy that establishes guidelines, objectives, and actions for environmental protection in Brazil. Executing Agency: Ministério do Meio Ambiente e dos Recursos Naturais (MMA).

2. National Air Quality Standards (NDQA): Estabelece os limites permitidos para poluentes do ar em diferentes regiões do país. Executing Agency: Agência Nacional de Petróleo, Gás Natural e Biocombustíveis (ANP).

3. National Environmental Licensing System (Sistema Nacional de Licenciamento Ambiental - SINA): Um sistema que regula a emissão de poluentes do ar por atividades industriais e outras atividades que possam impactar o meio ambiente. Executing Agency: Ministério do Meio Ambiente e dos Recursos Naturais (MMA).

4. National System of Environmental Impact Assessment (Sistema Nacional de Avaliação de Impacto Ambiental - SAIMA): Um sistema que avalia o impacto ambiental potencial das atividades antes da aprovação de licenças ambientais. Executing Agency: Ministério do Meio Ambiente e dos Recursos Naturais (MMA).

5. National System of Climate Change (SNCC): Um sistema que monitora, avalia e mitiga os impactos das mudanças climáticas no país. Executing Agency: Ministério do Meio Ambiente e dos Recursos Naturais (MMA).

6. National System of Environmental Monitoring and Information (Sistema Nacional de Monitoramento e Informação Ambiental - SINAM): Um sistema que monitora a qualidade ambiental, incluindo a poluição do ar, em diferentes regiões do país. Executing Agency: Ministério do Meio Ambiente e dos Recursos Naturais (MMA).

7. National System of Environmental Education (Sistema Nacional de Educação Ambiental - SINA): Um sistema que promove a educação ambiental e a conscientização sobre questões ambientais, incluindo poluição do ar. Executing Agency: Ministério da Educação (MEC).

8. National System of Environmental Management (Sistema Nacional de Gestão Ambiental - SINA): Um sistema que coordena e integra as políticas, programas e ações ambientais em diferentes setores do país. Executing Agency: Ministério do Meio Ambiente e dos Recursos Naturais (MMA).

9. National System of Renewable Energies (Sistema Nacional de Energias Renováveis - SINER): Um sistema que promove o uso de fontes de energia renovável, incluindo energia eólica e solar, para reduzir a poluição do ar. Executing Agency: Ministério da Mesa Redonda dos Ministérios (MRM).

10. National System of Biodiversity Conservation (Sistema Nacional de Conservação da Biodiversidade - SINCABIO): Um sistema que protege e conserva a biodiversidade no país, incluindo habitats que podem ser afetados pela poluição do ar. Executing Agency: Ministério do Meio Ambiente e dos Recursos Naturais (MMA).","instrumentos listados pela referencia (o conjunto NAO e exaustivo; um instrumento real que falte aqui conta como certo): Resolução CONAMA N° 491/2018 – Dispõe sobre padrões de qualidade do ar — fonte: UNEP, Regulating Air Quality: The First Global Assessment of Air Pollution Legislation, Appendix 1 (as at 15 December 2020)",,,,,,
IT085,T4,"List the principal national programs or legal instruments for monitoring and controlling ambient air pollution in Kenya, with the executing agency for each.","Here are the principal national programs and legal instruments for monitoring and controlling ambient air pollution in Kenya, along with their executing agencies:

### Legal Instruments

1.  **The Constitution of Kenya (2010)**
    - **Executing Agency:** All state organs (National Environment Management Authority [NEMA], County Governments, Judiciary)
    - **Relevance:** Article 42 guarantees the right to a clean and healthy environment. Article 69 imposes an obligation on the State to ensure sustainable exploitation, utilization, management, and conservation of the environment.

2.  **Environmental Management and Co-ordination Act (EMCA), 1999 (Revised 2015)**
    - **Executing Agency:** National Environment Management Authority (NEMA)
    - **Relevance:** The overarching framework law for environmental management. Part VI (Section 55-58) specifically addresses air quality, prohibiting air pollution and empowering NEMA to set standards.

3.  **Environmental Management and Co-ordination (Air Quality) Regulations, 2014**
    - **Executing Agency:** National Environment Management Authority (NEMA)
    - **Relevance:** The most specific legal instrument for ambient air quality. It establishes:
        - Ambient air quality standards (e.g., for PM2.5, PM10, SO2, NOx, Ozone, Lead).
        - Emission standards for mobile (vehicles) and stationary sources (industries).
        - Requirements for air quality monitoring, emission inventories, and environmental audits.
        - Prohibition of open burning of waste.

4.  **The Climate Change Act, 2016**
    - **Executing Agency:** National Environment Management Authority (NEMA) & Climate Change Directorate (Ministry of Environment)
    - **Relevance:** While primarily focused on climate change, it mandates the reduction of greenhouse gas emissions, which directly overlaps with air quality management (e.g., reducing black carbon, methane, and NOx).

5.  **The Public Health Act (Cap. 242)**
    - **Executing Agency:** Ministry of Health (Department of Public Health) & County Health Departments
    - **Relevance:** Provides for the abatement of nuisances, including smoke, fumes, and dust that are injurious to health. It empowers local authorities to take action against polluters.

6.  **The Traffic Act (Cap. 403) & The Traffic (Motor Vehicle Inspection) Rules**
    - **Executing Agency:** National Transport and Safety Authority (NTSA) & Kenya Bureau of Standards (KEBS)
    - **Relevance:** Regulates vehicle emissions. NTSA enforces mandatory vehicle inspection (including emission tests) for roadworthiness. KEBS sets fuel quality standards (e.g., sulfur content) that directly impact air quality.

7.  **The Energy Act, 2019**
    - **Executing Agency:** Energy and Petroleum Regulatory Authority (EPRA)
    - **Relevance:** Regulates the energy sector, including fuel quality standards and emissions from power plants and industrial boilers. EPRA sets standards for clean cooking fuels and renewable energy.

### National Programs

1.  **National Air Quality Monitoring Network (NAQMN)**
    - **Executing Agency:** National Environment Management Authority (NEMA)
    - **Description:** A network of continuous and passive air quality monitoring stations (currently in Nairobi, Mombasa, Kisumu, Nakuru, and other urban centers) that measure PM2.5, PM10, NO2, SO2, O3, and CO. Data is used for compliance assessment and public reporting.

2.  **Kenya Air Quality Index (AQI) Program**
    - **Executing Agency:** National Environment Management Authority (NEMA) in collaboration with the Ministry of Environment and Forestry
    - **Description:** A public information program that translates raw monitoring data into a color-coded AQI (Good, Moderate","instrumentos listados pela referencia (o conjunto NAO e exaustivo; um instrumento real que falte aqui conta como certo): The Environmental Management and Co-ordination (Air Quality) Regulations (2014) — fonte: UNEP, Regulating Air Quality: The First Global Assessment of Air Pollution Legislation, Appendix 1 (as at 15 December 2020)",,,,,,
